code,duration,firstVol,firstVolDivLTGB,firstVolDivVol,highestVol,highestVolDivLTGB,highestVolDivVol,name,openTime,reason,time,times,updatedTime
600698.SH,30000,5181204,0.007031072789312127,0.27409902684657494,6408300,0.008696284445806208,0.31867547803559493,湖南天雁,2018-07-30 09:31:16,国企改革,2018-07-30 09:30:46,2,2018-07-30 09:31:16
600698.SH,14301115,2011886,0.002730198793523285,0.07423800444021557,22059886,0.02993602726121719,0.74306769166075,湖南天雁,,国企改革,2018-07-30 09:31:31,2,2018-07-30 15:00:00
600982.SH,14392304,12162200,0.016282918077999278,14.178363254837958,12892600,0.017260787490126252,8.86211163046467,宁波热电,,资产注入,2018-07-30 09:30:00,1,2018-07-30 15:00:00
601869.SH,14392304,85241433,1.1246979734006275,920.8620026575345,85241433,1.1246979734006275,920.8620026575345,长飞光纤,,新股,2018-07-30 09:30:00,7,2018-07-30 15:00:00
603032.SH,14376115,2854385,0.036404257218651155,0.8523567291713636,4976915,0.06347458167533925,1.4396692493603531,德新交运,,资产置换,2018-07-30 09:30:16,2,2018-07-30 15:00:00
603183.SH,13700728,3615364,0.11738194805194806,1.8425645100214716,4732898,0.15366551948051949,1.9177812093911308,建研院,,基建+次新股,2018-07-30 09:41:31,1,2018-07-30 15:00:00
603500.SH,135000,3992180,0.09052562358276645,0.600360681396696,4107120,0.09313197278911564,0.6140022508273166,祥和实业,2018-07-30 11:21:03,高铁,2018-07-30 11:18:48,1,2018-07-30 11:21:03
603500.SH,7698542,2501180,0.05671609977324263,0.3296736610623981,4063600,0.09214512471655328,0.5159788895102239,祥和实业,,高铁,2018-07-30 11:21:33,1,2018-07-30 15:00:00
603596.SH,150288,3263366,0.07986700930004895,0.5075141144794194,4077715,0.09979723445912873,0.5812395321820812,伯特利,2018-07-30 09:48:46,次新股+超跌反弹,2018-07-30 09:46:16,2,2018-07-30 09:48:46
603596.SH,4036735,5562983,0.13614740577581988,0.5831789419237752,5825283,0.14256688693098385,0.6047738790243151,伯特利,2018-07-30 10:56:18,次新股+超跌反弹,2018-07-30 09:49:01,2,2018-07-30 10:56:18
603596.SH,9198648,2187018,0.05352466960352423,0.1828532242476931,2853148,0.06982741067058247,0.23158328599230807,伯特利,,次新股+超跌反弹,2018-07-30 10:56:33,2,2018-07-30 15:00:00
603657.SH,12574915,22262000,0.9275833333333333,111310.0,22399300,0.9333041666666667,111996.5,春光科技,,新股,2018-07-30 10:00:17,1,2018-07-30 15:00:00
603713.SH,14392304,39879176,1.046148373557188,135.77091419155397,39879176,1.046148373557188,135.77091419155397,密尔克卫,,新股,2018-07-30 09:30:00,12,2018-07-30 15:00:00
